date	sales
2010-02-05	91481.24
2010-02-12	85763.19
2010-02-19	86570.21
2010-02-26	84405.45
2010-03-05	87922.48
2010-03-12	82292.01
2010-03-19	81217.33
2010-03-26	75726.7
2010-04-02	83927.41
2010-04-09	76007.75
2010-04-16	84643.38
2010-04-23	82631.69
2010-04-30	82676.37
2010-05-07	86455.24
2010-05-14	77259.96
2010-05-21	81805.04
2010-05-28	82674.48
2010-06-04	83294.12
2010-06-11	78179.6
2010-06-18	86165.93
2010-06-25	78775.38
2010-07-02	86804.99
2010-07-09	81534.25
2010-07-16	87181.89
2010-07-23	81652.46
2010-07-30	85568.43
2010-08-06	87791.77
2010-08-13	95845.19
2010-08-20	99771.88
2010-08-27	87362.54
2010-09-03	93677.66
2010-09-10	87384.43
2010-09-17	89875.27
2010-09-24	85159.65
2010-10-01	88537.23
2010-10-08	86708.3
2010-10-15	82889.69
2010-10-22	86969.56
2010-10-29	84800.12
2010-11-05	92919.57
2010-11-12	86753.2
2010-11-19	89350.52
2010-11-26	91281.55
2010-12-03	89556.97
2010-12-10	94107.63
2010-12-17	100225.88
2010-12-24	116473.44
2010-12-31	78283.52
2011-01-07	90467.13
2011-01-14	88181.29
2011-01-21	90745.3
2011-01-28	84516.07
2011-02-04	94201.14
2011-02-11	95467.6
2011-02-18	99214.16
2011-02-25	100464.89
2011-03-04	99650
2011-03-11	90576.52
2011-03-18	97957.06
2011-03-25	90527.65
2011-04-01	87803.95
2011-04-08	92681.28
2011-04-15	90248.83
2011-04-22	103397.79
2011-04-29	85613.14
2011-05-06	96111.37
2011-05-13	89627.89
2011-05-20	94545.1
2011-05-27	93786.26
2011-06-03	95548.42
2011-06-10	93516.12
2011-06-17	96510.39
2011-06-24	90050.58
2011-07-01	96552.99
2011-07-08	92967.82
2011-07-15	96183.71
2011-07-22	98684.69
2011-07-29	94034.84
2011-08-05	104133.38
2011-08-12	95162.69
2011-08-19	107974.78
2011-08-26	96329.83
2011-09-02	104098.12
2011-09-09	96952.19
2011-09-16	96937.39
2011-09-23	96778.13
2011-09-30	94264.32
2011-10-07	105441.07
2011-10-14	94631.83
2011-10-21	97077.45
2011-10-28	89021.14
2011-11-04	96580.1
2011-11-11	95843.73
2011-11-18	96244.02
2011-11-25	92337.97
2011-12-02	90896.84
2011-12-09	96307.24
2011-12-16	104945.49
2011-12-23	123735.98
2011-12-30	81744.17
2012-01-06	94469.77
2012-01-13	88422.58
2012-01-20	91454.16
2012-01-27	90813.61
2012-02-03	101578.47
2012-02-10	105498.09
2012-02-17	101605.74
2012-02-24	106364.4
2012-03-02	106758.96
2012-03-09	105045.44
2012-03-16	101053.81
2012-03-23	94894.85
2012-03-30	95111.76
2012-04-06	104332.33
2012-04-13	90747.71
2012-04-20	102204.4
2012-04-27	94450.19
2012-05-04	102425.54
2012-05-11	93896.22
2012-05-18	99759.73
2012-05-25	102223.65
2012-06-01	102405.35
2012-06-08	102099.34
2012-06-15	99532.65
2012-06-22	100073.71
2012-06-29	100415.52
2012-07-06	104872.78
2012-07-13	98915.31
2012-07-20	101996.56
2012-07-27	98674.89
2012-08-03	101872.8
2012-08-10	96870
2012-08-17	112674.99
2012-08-24	101654.79
2012-08-31	101495.5
2012-09-07	100312.06
2012-09-14	96606.57
2012-09-21	95291.41
2012-09-28	94947.88
2012-10-05	101963.71
2012-10-12	91054.12
2012-10-19	94432.15
2012-10-26	93534.21
